nanoplastics.type,surface.charge,nanoplastics.shape,nanoplastics.size.nm.,nanoplastics.dose.mg.g.,adsorption.of.pollutants.type,pollutants.dose.mg.g.,adsorption.of.pollutants,environmental.media,plant.species,plant,exposure.time.day.,Tem...,pH,Photosynthetic.and.biochemical.indexes,index,n1,n2,av1,av2,sd1,sd2,Title,study_id,effet_size,variance
PS,plain,sphere,48.98,0.001,Phe(phenonnthrene),0.05,1,freshwater,rice,2,7,,,Ci,Calvin Cycle,3,3,371.99434,353.09796,25.01128,2.66664,"Effects of individual and combined polystyrene nanoplastics and phenanthrene on the enzymology, physiology, and transcriptome parameters of rice (Oryza sativa L",3,0.052877047,0.001527024
PS,plain,sphere,48.98,0,Phe(phenonnthrene),0.05,1,freshwater,rice,2,7,,,Ci,Calvin Cycle,3,3,372.50009,353.09796,17.1033,2.66664,"Effects of individual and combined polystyrene nanoplastics and phenanthrene on the enzymology, physiology, and transcriptome parameters of rice (Oryza sativa L",3,0.053833611,0.000721984
PS,plain,sphere,48.98,0.001,Phe(phenonnthrene),0.05,1,freshwater,rice,2,7,,,chla,Light Reaction,3,3,10.34614,7.068,0.32938,2.902,"Effects of individual and combined polystyrene nanoplastics and phenanthrene on the enzymology, physiology, and transcriptome parameters of rice (Oryza sativa L",3,0.353108483,0.05810949
PS,plain,sphere,48.98,0.001,Phe(phenonnthrene),0.05,1,freshwater,rice,2,7,,,Pn,Simultaneous effect,3,3,11.26276,17.68318,3.08882,3.47106,"Effects of individual and combined polystyrene nanoplastics and phenanthrene on the enzymology, physiology, and transcriptome parameters of rice (Oryza sativa L",3,-0.444998354,0.038311377
PS,plain,sphere,48.98,0.001,Phe(phenonnthrene),0.05,1,freshwater,rice,2,7,,,Tr1,Simultaneous effect,3,3,0.0036,0.00525,0.00084,0.0007,"Effects of individual and combined polystyrene nanoplastics and phenanthrene on the enzymology, physiology, and transcriptome parameters of rice (Oryza sativa L",3,-0.37118312,0.02425631
PS,plain,sphere,100,0,pyrene,0.0005,1,soil,water spinach,2,40,25,,carotenoids,Light Reaction,3,3,0.4546,0.63815,0.01976,0.01316,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.338911439,0.000771753
PS,plain,sphere,100,0.01,pyrene,0.0005,1,soil,water spinach,2,40,25,,chlb,Light Reaction,3,3,1.15992,1.61359,0.1351,0.09276,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.328400246,0.005634435
PS,plain,sphere,100,0.001,pyrene,0.0005,1,soil,water spinach,2,40,25,,carotenoids,Light Reaction,3,3,0.50433,0.63815,0.06288,0.01316,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.232822567,0.005336915
PS,plain,sphere,100,0,pyrene,0.0005,1,soil,water spinach,2,40,25,,chla,Light Reaction,3,3,3.08885,3.91069,0.74062,0.07646,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.226396911,0.0194746
PS,plain,sphere,100,0.001,pyrene,0.0005,1,soil,water spinach,2,40,25,,chlb,Light Reaction,3,3,1.29602,1.61359,0.09276,0.09276,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.218860486,0.002811202
PS,plain,sphere,100,0.01,pyrene,0.0005,1,soil,water spinach,2,40,25,,chla,Light Reaction,3,3,3.25848,3.91069,0.00104,0.07646,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.182516693,0.000127463
PS,plain,sphere,100,0.01,pyrene,0.0005,1,soil,water spinach,2,40,25,,carotenoids,Light Reaction,3,3,0.53577,0.63815,0.02268,0.01316,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.174640619,0.000739267
PS,plain,sphere,100,0,pyrene,0.0005,1,soil,water spinach,2,20,25,,carotenoids,Light Reaction,3,3,0.68788,0.78879,0.01682,0.01608,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.136855335,0.000337854
PS,plain,sphere,100,0.001,pyrene,0.0005,1,soil,water spinach,2,40,25,,chla,Light Reaction,3,3,3.51172,3.91069,0.34402,0.07646,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.106072123,0.003331488
PS,plain,sphere,100,0.001,pyrene,0.0005,1,soil,water spinach,2,20,25,,carotenoids,Light Reaction,3,3,0.71091,0.78879,0.00218,0.01608,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.104021981,0.000141669
PS,plain,sphere,100,0,pyrene,0.0005,1,soil,water spinach,2,20,25,,chlb,Light Reaction,3,3,2.16707,2.33645,0.04236,0.05242,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.075276871,0.000295173
PS,plain,sphere,100,0.001,pyrene,0.0005,1,soil,water spinach,2,20,25,,chla,Light Reaction,3,3,5.69293,6.03696,0.22458,0.12808,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.05849117,0.000668924
PS,plain,sphere,100,0,pyrene,0.0005,1,soil,water spinach,2,40,25,,chlb,Light Reaction,3,3,1.52387,1.61359,0.1109,0.09276,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.05687644,0.002869151
PS,plain,sphere,100,0.001,pyrene,0.0005,1,soil,water spinach,2,20,25,,chlb,Light Reaction,3,3,2.21446,2.33645,0.10082,0.05242,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.053362529,0.000858974
PS,plain,sphere,100,0,pyrene,0.0005,1,soil,water spinach,2,20,25,,chla,Light Reaction,3,3,5.73594,6.03696,0.15768,0.12808,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.051098002,0.000401979
PS,plain,sphere,100,0.1,pyrene,0.0005,1,soil,water spinach,2,40,25,,chlb,Light Reaction,3,3,1.54101,1.61359,0.07662,0.09276,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,-0.046162228,0.001926568
PS,plain,sphere,100,0.1,pyrene,0.0005,1,soil,water spinach,2,40,25,,chla,Light Reaction,3,3,4.09465,3.91069,0.21024,0.07646,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,0.04634309,0.001006586
PS,plain,sphere,100,0.01,pyrene,0.0005,1,soil,water spinach,2,20,25,,chlb,Light Reaction,3,3,2.45541,2.33645,0.00118,0.05242,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,0.049577215,0.000167879
PS,plain,sphere,100,0.01,pyrene,0.0005,1,soil,water spinach,2,20,25,,chla,Light Reaction,3,3,6.44071,6.03696,0.03822,0.12808,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,0.064669058,0.000161789
PS,plain,sphere,100,0.01,pyrene,0.0005,1,soil,water spinach,2,20,25,,carotenoids,Light Reaction,3,3,0.86959,0.78879,0.01976,0.01608,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,0.097538506,0.000310666
PS,plain,sphere,100,0.1,pyrene,0.0005,1,soil,water spinach,2,40,25,,carotenoids,Light Reaction,3,3,0.74565,0.63815,0.02266,0.01316,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,0.155765998,0.000449657
PS,plain,sphere,100,0.1,pyrene,0.0005,1,soil,water spinach,2,20,25,,carotenoids,Light Reaction,3,3,0.9259,0.78879,0.41024,0.01608,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,0.192915591,0.067717049
PS,plain,sphere,100,0.1,pyrene,0.0005,1,soil,water spinach,2,20,25,,chla,Light Reaction,3,3,7.382,6.03696,0.002,0.12808,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,0.201069023,0.000150075
PS,plain,sphere,100,0.1,pyrene,0.0005,1,soil,water spinach,2,20,25,,chlb,Light Reaction,3,3,2.94638,2.33645,0.0605,0.05242,Effects of micro? and nano?plastics on accumulation and toxicity of pyrene in water spinach (Ipomoea aquatica Forsk),4,0.231930993,0.000308355
PS,plain,sphere,100,0.1,As(arsenic),0.125,1,freshwater,Chlamydomonas reinhardtii,1,3,25,7,Pn,Simultaneous effect,3,3,0.67005,0.84954,0.11492,0.03356,Effects of microplastic on arsenic accumulation in Chlamydomonas reinhardtii in a freshwater enviroent,5,-0.232700191,0.010373567
PS,plain,sphere,100,0.1,As(arsenic),0.15,1,freshwater,Chlamydomonas reinhardtii,1,3,25,7,Pn,Simultaneous effect,3,3,0.58311,0.72344,0.0478,0.0966,Effects of microplastic on arsenic accumulation in Chlamydomonas reinhardtii in a freshwater enviroent,5,-0.217493454,0.0082034
PS,plain,sphere,100,0.1,As(arsenic),0.075,1,freshwater,Chlamydomonas reinhardtii,1,3,25,7,Pn,Simultaneous effect,3,3,1.02699,1.18969,0.12202,0.09254,Effects of microplastic on arsenic accumulation in Chlamydomonas reinhardtii in a freshwater enviroent,5,-0.145716228,0.006735467
PS,plain,sphere,100,0.1,As(arsenic),0.1,1,freshwater,Chlamydomonas reinhardtii,1,3,25,7,Pn,Simultaneous effect,3,3,0.8714,0.99343,0.11898,0.1566,Effects of microplastic on arsenic accumulation in Chlamydomonas reinhardtii in a freshwater enviroent,5,-0.132096843,0.014550905
PS,plain,sphere,100,0.1,As(arsenic),0.15,1,freshwater,Chlamydomonas reinhardtii,1,3,25,7,Pn,Simultaneous effect,3,3,0.64616,0.72344,0.1027,0.0966,Effects of microplastic on arsenic accumulation in Chlamydomonas reinhardtii in a freshwater enviroent,5,-0.111731848,0.01441695
PS,plain,sphere,100,0.1,As(arsenic),0.125,1,freshwater,Chlamydomonas reinhardtii,1,3,25,7,Pn,Simultaneous effect,3,3,0.75852,0.84954,0.13018,0.03356,Effects of microplastic on arsenic accumulation in Chlamydomonas reinhardtii in a freshwater enviroent,5,-0.108676836,0.010386746
PS,plain,sphere,100,0.1,As(arsenic),0.05,1,freshwater,Chlamydomonas reinhardtii,1,3,25,7,Pn,Simultaneous effect,3,3,1.27104,1.39866,0.16982,0.2888,Effects of microplastic on arsenic accumulation in Chlamydomonas reinhardtii in a freshwater enviroent,5,-0.099809924,0.020280769
PS,plain,sphere,100,0.1,As(arsenic),0.075,1,freshwater,Chlamydomonas reinhardtii,1,3,25,7,Pn,Simultaneous effect,3,3,1.1119,1.18969,0.06,0.09254,Effects of microplastic on arsenic accumulation in Chlamydomonas reinhardtii in a freshwater enviroent,5,-0.068145612,0.00298996
PS,plain,sphere,100,0.1,As(arsenic),0.1,1,freshwater,Chlamydomonas reinhardtii,1,3,25,7,Pn,Simultaneous effect,3,3,0.93801,0.99343,0.04474,0.1566,Effects of microplastic on arsenic accumulation in Chlamydomonas reinhardtii in a freshwater enviroent,5,-0.061165329,0.009075918
PS,plain,sphere,100,0.1,As(arsenic),0.05,1,freshwater,Chlamydomonas reinhardtii,1,3,25,7,Pn,Simultaneous effect,3,3,1.34324,1.39866,0.25524,0.2888,Effects of microplastic on arsenic accumulation in Chlamydomonas reinhardtii in a freshwater enviroent,5,-0.041518108,0.026420841
PS,aminonted,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,rubisco activity,Calvin Cycle,3,3,1192.15535,1583.98017,395.9735228,381.1509784,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.275441054,0.056937527
PS,aminonted,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,rubisco activity,Calvin Cycle,3,3,1308.29687,1583.98017,470.0862102,381.1509784,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.17934747,0.06344791
PS,carboxylated,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,rubisco activity,Calvin Cycle,3,3,1412.21297,1583.98017,455.2636658,381.1509784,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.107112119,0.054729119
PS,aminonted,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chlb,Light Reaction,3,3,1.7064,1.88015,0.086325412,0.234346474,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.099128418,0.006045441
PS,carboxylated,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chlb,Light Reaction,3,3,1.70925,1.88015,0.21955476,0.234346474,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.095136232,0.010706993
PS,carboxylated,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,rubisco activity,Calvin Cycle,3,3,1448.27797,1583.98017,366.328434,381.1509784,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.088552721,0.041040709
PS,plain,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,rubisco activity,Calvin Cycle,3,3,1452.55687,1583.98017,542.0813962,381.1509784,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.073053827,0.066988443
PS,aminonted,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,rubisco activity,Calvin Cycle,3,3,1481.89788,1583.98017,235.0431051,381.1509784,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.072074683,0.02790779
PS,carboxylated,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,Total chl,Light Reaction,3,3,5.21914,5.62586,0.946600407,0.660396332,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.07185519,0.015628952
PS,aminonted,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,Total chl,Light Reaction,3,3,5.23609,5.62586,0.799826422,0.660396332,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.070206468,0.012411728
PS,carboxylated,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chlb,Light Reaction,3,3,1.76835,1.88015,0.26147039,0.234346474,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.060250118,0.012506189
PS,aminonted,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chlb,Light Reaction,3,3,1.78616,1.88015,0.064120521,0.234346474,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.053658002,0.005621648
PS,carboxylated,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,rubisco activity,Calvin Cycle,3,3,1513.68398,1583.98017,228.6906009,381.1509784,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.051240428,0.02712452
PS,aminonted,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chla,Light Reaction,3,3,3.51866,3.72793,0.890759089,0.582800456,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.051165179,0.029770215
PS,plain,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chlb,Light Reaction,3,3,1.789,1.88015,0.298501636,0.234346474,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.047644008,0.014515123
PS,carboxylated,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,Total chl,Light Reaction,3,3,5.36742,5.62586,0.631090032,0.660396332,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.047018958,0.0092225
PS,carboxylated,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chla,Light Reaction,3,3,3.51866,3.72793,1.12292318,0.582800456,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.044871854,0.042704953
PS,plain,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,rubisco activity,Calvin Cycle,3,3,1500.84729,1583.98017,514.5538088,381.1509784,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.043971191,0.059434779
PS,aminonted,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,Total chl,Light Reaction,3,3,5.3759,5.62586,1.152056274,0.660396332,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.040090303,0.020029052
PS,plain,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,Total chl,Light Reaction,3,3,5.41826,5.62586,0.719147495,0.660396332,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.036959607,0.010493056
PS,carboxylated,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chlb,Light Reaction,3,3,1.80965,1.88015,0.310833838,0.234346474,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.035890213,0.015074706
PS,aminonted,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chlb,Light Reaction,3,3,1.81535,1.88015,0.266424055,0.234346474,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.034072725,0.012397438
PS,carboxylated,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chla,Light Reaction,3,3,3.61304,3.72793,0.65384918,0.582800456,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.029918646,0.01915612
PS,carboxylated,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,Total chl,Light Reaction,3,3,5.44368,5.62586,1.115371438,0.660396332,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.028218245,0.018695307
PS,aminonted,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,Total chl,Light Reaction,3,3,5.47546,5.62586,0.89522778,0.660396332,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.024938831,0.013553945
PS,plain,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chlb,Light Reaction,3,3,1.83315,1.88015,0.276296745,0.234346474,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.024118845,0.012793071
PS,aminonted,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chla,Light Reaction,3,3,3.58568,3.72793,1.241395455,0.582800456,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.023001543,0.048931661
PS,plain,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,Total chl,Light Reaction,3,3,5.50088,5.62586,0.631055391,0.660396332,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.022568911,0.009000132
PS,plain,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,rubisco activity,Calvin Cycle,3,3,1541.19119,1583.98017,461.61617,381.1509784,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.022083566,0.049837986
PS,plain,sphere,80,0.01,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chla,Light Reaction,3,3,3.64723,3.72793,0.886047911,0.582800456,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.016122091,0.02804625
PS,plain,sphere,80,0.005,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chla,Light Reaction,3,3,3.67459,3.72793,0.60646027,0.582800456,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.013945131,0.017300706
PS,aminonted,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chla,Light Reaction,3,3,3.66091,3.72793,1.11817736,0.582800456,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.006666105,0.039760682
PS,carboxylated,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chla,Light Reaction,3,3,3.63355,3.72793,1.44986509,0.582800456,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,-0.003179972,0.062661025
PS,plain,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,Total chl,Light Reaction,3,3,5.62586,5.62586,0.975941348,0.660396332,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,0.002718975,0.0146851
PS,plain,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chlb,Light Reaction,3,3,1.88585,1.88015,0.286134793,0.234346474,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,0.004274656,0.012895148
PS,plain,sphere,80,0.001,Pb(lead),0.01,1,freshwater,dandelion,3,7,25,6.5,chla,Light Reaction,3,3,3.73477,3.72793,1.236649636,0.582800456,Effects of polystyrene nanoplastics with different functional groups on the accumulation and toxicity of Pb on dandelion,8,0.016032945,0.045394108
PS,plain,sphere,100,0.005,TC(tetracycline),0.01,1,freshwater,Chrysanthemum coronarium L.,3,7,25,,rubisco activity,Calvin Cycle,3,3,35.4,79.3,3.15,6.06,Impacts of root exudates on the toxic response of Chrysanthemum coronarium L. to the co-pollution of nanoplastic particles and tetracycline,13,-0.806179947,0.004591309
PS,plain,sphere,100,0.01,TC(tetracycline),0.01,1,freshwater,Chrysanthemum coronarium L.,3,7,25,,rubisco activity,Calvin Cycle,3,3,45.01,79.3,1.01,6.06,Impacts of root exudates on the toxic response of Chrysanthemum coronarium L. to the co-pollution of nanoplastic particles and tetracycline,13,-0.567242822,0.002116356
PS,plain,sphere,50,0.001,DBP(di-n-butyl phthalate),0.001,1,freshwater,corn,2,14,20,,chlb,Light Reaction,6,6,0.48892,0.86048,0.05366,0.05606,"Nanoplastic impacts on the foliar uptake, metabolism and phytotoxicity of phthalate esters in corn (Zea mays L.) plants",17,-0.564641409,0.002717266
PS,plain,sphere,50,0.001,DEHP(di-(2-ethylhexyl) phthalate),0.001,1,freshwater,corn,2,14,20,,chlb,Light Reaction,6,6,0.49573,0.86048,0.04404,0.05606,"Nanoplastic impacts on the foliar uptake, metabolism and phytotoxicity of phthalate esters in corn (Zea mays L.) plants",17,-0.551154964,0.002023914
PS,plain,sphere,50,0.001,DEHP(di-(2-ethylhexyl) phthalate),0.001,1,freshwater,corn,2,10,20,,chlb,Light Reaction,6,6,0.49773,0.85287,0.03604,0.11052,"Nanoplastic impacts on the foliar uptake, metabolism and phytotoxicity of phthalate esters in corn (Zea mays L.) plants",17,-0.53951183,0.00367689
